# u,v,w,phi,theta,psi,alpha,beta,gamma,time
8.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00
8.511825006834433793e+01,0.000000000000000000e+00,2.718513626668330949e-02,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,3.193808063549668152e-04,0.000000000000000000e+00,9.968061919364504253e-02,1.000000000000000056e-01
8.523648620163494627e+01,0.000000000000000000e+00,-1.029988473208606758e-01,0.000000000000000000e+00,9.814398959775148812e-02,0.000000000000000000e+00,-1.208388587771296171e-03,0.000000000000000000e+00,9.935237818552278277e-02,2.000000000000000111e-01
8.535439436628048782e+01,0.000000000000000000e+00,-3.641416912142061979e-01,0.000000000000000000e+00,9.462139500996026575e-02,0.000000000000000000e+00,-4.266206616845681122e-03,0.000000000000000000e+00,9.888760162680594601e-02,3.000000000000000444e-01
8.547128296457002250e+01,0.000000000000000000e+00,-7.288610324915456573e-01,0.000000000000000000e+00,8.965487236637155466e-02,0.000000000000000000e+00,-8.527347906670056099e-03,0.000000000000000000e+00,9.818222027304160382e-02,4.000000000000000222e-01
8.558646000860414915e+01,0.000000000000000000e+00,-1.169917458115060427e+00,0.000000000000000000e+00,8.348760798304093178e-02,0.000000000000000000e+00,-1.366857092344122941e-02,0.000000000000000000e+00,9.715617890648216293e-02,5.000000000000000000e-01
8.569950719321245458e+01,0.000000000000000000e+00,-1.661178278329276781e+00,0.000000000000000000e+00,7.637159960962139338e-02,0.000000000000000000e+00,-1.938132817947631203e-02,0.000000000000000000e+00,9.575292778909770541e-02,5.999999999999999778e-01
8.581043611134202820e+01,0.000000000000000000e+00,-2.178413608147888425e+00,0.000000000000000000e+00,6.855724499781998271e-02,0.000000000000000000e+00,-2.538089673075033526e-02,0.000000000000000000e+00,9.393814172857031797e-02,6.999999999999999556e-01
8.591973235012090981e+01,0.000000000000000000e+00,-2.699915457812982478e+00,0.000000000000000000e+00,6.028446189653728637e-02,0.000000000000000000e+00,-3.141335795880738357e-02,0.000000000000000000e+00,9.169781985534466995e-02,7.999999999999999334e-01
8.602830773370133954e+01,0.000000000000000000e+00,-3.206938114812490248e+00,0.000000000000000000e+00,5.177546615149633547e-02,0.000000000000000000e+00,-3.726045476728971628e-02,0.000000000000000000e+00,8.903592091878605175e-02,8.999999999999999112e-01
8.613738900758733052e+01,0.000000000000000000e+00,-3.683965729172153480e+00,0.000000000000000000e+00,4.322924631044812449e-02,0.000000000000000000e+00,-4.274243817117855809e-02,0.000000000000000000e+00,8.597168448162667564e-02,9.999999999999998890e-01
8.624837330513339850e+01,0.000000000000000000e+00,-4.118819996670118222e+00,0.000000000000000000e+00,3.481769709555852799e-02,0.000000000000000000e+00,-4.771908185379228340e-02,0.000000000000000000e+00,8.253677894935081139e-02,1.099999999999999867e+00
8.636267803906994800e+01,0.000000000000000000e+00,-4.502626486739568890e+00,0.000000000000000000e+00,2.668331219449833827e-02,0.000000000000000000e+00,-5.208909179742787082e-02,0.000000000000000000e+00,7.877240399192621256e-02,1.199999999999999956e+00
8.648160702025579383e+01,0.000000000000000000e+00,-4.829662018848185134e+00,0.000000000000000000e+00,1.893828979470794927e-02,0.000000000000000000e+00,-5.578816884818570132e-02,0.000000000000000000e+00,7.472645864289365059e-02,1.300000000000000044e+00
8.660624725584474959e+01,0.000000000000000000e+00,-5.097107405061780838e+00,0.000000000000000000e+00,1.166487185851580732e-02,0.000000000000000000e+00,-5.878599635203952956e-02,0.000000000000000000e+00,7.045086821055533688e-02,1.400000000000000133e+00
8.673740343389211205e+01,0.000000000000000000e+00,-5.304730000605282214e+00,0.000000000000000000e+00,4.916719165625377079e-03,0.000000000000000000e+00,-6.108242491261962198e-02,0.000000000000000000e+00,6.599914407824500340e-02,1.500000000000000222e+00
8.687557060594676273e+01,0.000000000000000000e+00,-5.454519203561933871e+00,0.000000000000000000e+00,-1.278883132198752569e-03,0.000000000000000000e+00,-6.270311452848172096e-02,0.000000000000000000e+00,6.142423139628296752e-02,1.600000000000000311e+00
